Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20
Bac Con,CB5,-0.5417535013967706,-0.5656301722939909,1.3192350095949692,0.19443584460481014,-0.642607827330477,-0.951349238252946,0.06528839930838287,0.955198927812607,0.566441855250558,-0.7356002050521862,0.7431819405365169,3.097316329886909,0.9859905551123966,-0.7532324064474784,-0.8142603195136153,-0.9731462319614219,-0.6778963474897737,-0.7683879679499871,-0.11037003982348044,-0.3928546045950239
Bac Con,CB6,-0.6266984429072946,-0.49350830910978644,0.9481648228301638,-0.07325032556470885,-0.3378322989635865,-0.987662500479418,-0.10031274442264573,0.9818667611735451,0.5565946571225671,-0.7198649884585349,1.8878328176822512,2.9421084132798687,0.47299216903934255,-0.8287497693207742,-0.57435506620892,-0.9238735943863413,-0.7408580258826645,-0.6647936614729243,-0.30765440137677746,-0.4101455125733714
Bac Con,CB7,-0.11702145270918855,-0.4270899243355446,0.8209706640324633,0.22752800245731003,-0.9697657960014463,-0.8411155267864704,0.0631568182389078,1.651140408897161,0.6383816490213297,-0.8880531796546921,1.5346204582874943,2.7408077512672193,0.3385955418485172,-0.7820711016315989,-0.8454182171050483,-0.8679446398924683,-0.752682231743607,-0.6921068923632765,-0.2566441220149495,-0.5752882098121085
Bac Con,CB8,-0.6608342609963029,-0.5540921813677487,1.0368965311193323,0.22472063572417644,-0.8438167468170404,-1.045505703302896,0.8228790818152456,1.2105119042870947,0.8654935987222531,-0.8809434646327127,1.4218473698354002,2.4493027445010727,0.8848823721661193,-0.7650039223170352,-0.8271119829483166,-1.010203572868953,-0.8682870743999359,-0.662162898788467,-0.23640685474185652,-0.5621655749894289
Bac Con,CB9,-0.6201759019652774,-0.6477395108851898,1.0728633743775617,0.4377046983674387,-0.6587196243207392,-1.0199841168621937,0.5223464429915281,1.1897408454052825,0.501457555902959,-0.8175003874262,1.1310562077769464,2.953840365020037,0.6221588362744356,-0.5740132362236746,-0.8362645065426816,-0.9191336126775201,-0.8053675730020928,-0.5718195760972566,-0.29473436742347153,-0.6657159126898918
HI,HI1,-0.6415560550180541,-0.5996081257367756,1.3888408894839848,0.42158868377103337,-0.7264532830560118,-1.1579813486912995,-0.06267255951534789,0.6761587840279888,-0.05600505569345806,-0.8994081836068522,0.8825120133609639,2.666192073640864,1.6743478281083937,-0.7703677693290146,-0.8601716047225146,-0.8760291128580607,-0.8465059001518933,-0.5662540091531677,0.3877853433410755,-0.034412608201857965
HI,HI10,-0.7406696153649865,-0.7903001764730013,2.1388736914277673,0.5668949721501179,-0.832248612478668,-1.1153207461613792,0.6416176740513287,0.6136960636640261,0.4186393770019718,-0.8497007537347178,1.052352821672479,1.8919830708248084,1.4226563248646447,-0.7909489306712418,-0.9901673064966272,-0.8748876393889489,-0.8361219097689929,-0.6963794634565854,-0.02662517977600681,-0.20334366188599035
HI,HI11,-0.7192985880152916,-0.6551882278638599,1.282913920973237,0.4173221485129741,-0.7808177566261427,-1.1379824073315916,1.4515225125746012,0.40118661274875367,0.10241640795630447,-0.9957847436466873,1.1010674913682623,1.841873970449805,1.8844328475923735,-0.8943564684908183,-0.9591155436674305,-0.9756117563379135,-0.9940113767463146,-0.4634388568066381,0.15600110756756913,-0.06313129421118825
HI,HI12,-0.7280150586819547,-0.6619816223727376,1.1842749221828908,0.39253515481310014,-0.9002030841917866,-1.0639419211067347,0.7850557672540839,0.6055434030282082,0.12639345448298914,-0.8413749851768083,0.9880657998278072,2.485059103877879,1.716717718749874,-0.8977061018212166,-0.9075613371688513,-0.862052396331416,-0.9370005713379154,-0.6754435975032821,0.12595139831982477,0.06568395315604954
HI,HI13,-0.6823090624593994,-0.5893800300598581,1.3830595114095825,0.2903532021131976,-0.8827452026655719,-1.1663284663494418,0.5931542038930459,0.5265493571629494,0.030999399143472477,-0.848056075274395,1.1230776974621142,2.5783407095842974,1.4998193917074185,-0.7207199309947222,-0.9812146856847768,-1.0372656018400033,-0.8429693581480994,-0.4422900609348203,0.26293227000091124,-0.09500726806590631
HI,HI14,-0.6303662050441384,-0.5858610183891683,1.2881782865589615,0.32034733159766754,-0.7230738049612818,-0.9544775543864783,0.42844021613414884,0.4589157937473828,0.042432750395757,-0.8392453350823068,0.7701449956655699,3.1271501425641417,1.260175195084458,-0.7111887816853245,-0.8596523080452787,-0.8732765479747069,-0.7866177882975537,-0.5514744959648151,0.07763994761678164,-0.25819081953382095
HI,HI15,-0.8030582594918287,-0.651943248553022,1.1837014418322587,0.33995437764731334,-0.7464098934460001,-1.1534293658518473,0.4628015035056728,0.9011753679126062,0.23086146882254951,-0.8825645725326235,1.244996161770239,2.3650090146445657,1.6153572101819316,-0.8311888122612878,-1.0615099595507438,-0.9453329702535881,-0.9025480696396987,-0.5407495238425966,0.2887024450067747,-0.11382431590068157
HI,HI2,-0.6576864923459933,-0.5740339401434331,1.7642094600421605,0.5199922245918205,-0.859550859568527,-1.1127138966505687,0.37842370817196347,0.9782214091192466,0.03490410447542329,-1.0405103280241186,1.1341267059682731,1.7138989919834873,1.8206186240112516,-0.9401704824729773,-1.0223887473636786,-0.9732306444101348,-0.9423594418504153,-0.5147371370069809,0.3508292170177782,-0.057842475544579476
