Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,Mean norm of mean norm ,,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CIII1,0.496766146,0.393488977,1.701954057,0.882378827,0.62636019,0.202365944,2.347787345,1.134437546,1.315559652,0.354971221,1.885354673,2.281909011,2.824822037,0.539180839,0.625329612,0.358441607,0.302687609,0.565879393,0.635791041,0.524534273,,SA,1.040524451,1.389073477,0.720463462,1.135744274,1.153955662,0.867212314,1.203718572,0.645538359,0.826124117,1.155683692,0.853046768,0.57055834,1.311809594,0.808988916,0.788679667,1.034287367,1.036718447,1.480208506,2.245080444,2.53882734,,,,,,,,,,,,,,,,,,,,,,,,,
Control,CIII10,0.457155476,0.418531409,2.269072222,1.211836032,0.607792255,0.287534824,1.158937339,2.000349429,1.537753495,0.27313029,1.723258481,2.441486573,2.492592499,0.397702579,0.569556689,0.194296462,0.447819723,0.481222773,0.53285556,0.497115889,,SP,0.875383774,0.952279041,1.651165896,1.993120597,1.115663923,0.809358105,0.765818111,0.649667585,0.907234982,0.94910123,0.957063036,0.563944096,0.929916921,0.687756304,0.739106837,0.717965786,0.749795873,0.896044872,1.2021992,1.417335225,,,,,,,,,,,,,,,,,,,,,,,,,
Control,CIII2,0.513778907,0.252690779,3.083083508,1.15375401,0.40132901,0.311490212,0.660557426,1.703943854,1.719778825,0.321670853,1.506353921,2.98905151,2.236048788,0.51687705,0.740484894,0.205508401,0.358923946,0.484806979,0.473349827,0.3665173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,CIII3,0.355312467,0.405041232,1.986617996,1.067914982,0.579181229,0.280629288,1.460348621,1.794251528,1.389862614,0.333612317,1.557601548,2.80045317,2.457956337,0.524684635,0.782162647,0.305558855,0.334841878,0.547860349,0.517205468,0.518902837,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,,,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CIII4,0.414495202,0.355650962,2.294205522,1.664757783,0.64373821,0.282271276,1.096600231,1.744854454,1.617341162,0.328732483,1.688077812,2.703444019,1.989347544,0.481210163,0.659934919,0.311232504,0.326467197,0.480905181,0.507491774,0.409241602,,Controls ,0.478739167,0.38777877,2.271704127,1.262233515,0.63369434,0.255054491,1.211084854,1.80778073,1.472985122,0.378531918,1.597409754,2.574015459,2.152987566,0.538110083,0.702052784,0.321952812,0.392058038,0.501909709,0.532978323,0.526938437,,,,,Controls ,0.478739167,0.38777877,2.271704127,1.262233515,0.63369434,0.255054491,1.211084854,1.80778073,1.472985122,0.378531918,1.597409754,2.574015459,2.152987566,0.538110083,0.702052784,0.321952812,0.392058038,0.501909709,0.532978323,0.526938437
Control,CIII5,0.446651446,0.398229739,2.311411168,1.192130128,0.826967257,0.213894984,0.768541733,2.245730825,1.438722167,0.419953029,1.447169199,2.807192414,1.936688505,0.510997521,0.682100889,0.375642925,0.448050165,0.507608058,0.611793746,0.410524102,,Bacterial ,0.492420062,0.420800121,2.713978568,1.802279621,0.717239146,0.212420718,1.167489263,1.241228085,1.255085213,0.376363471,1.544653013,1.759202856,2.312310627,0.41319218,0.654166522,0.331851719,0.3669666,0.524228136,0.816118102,0.878005977,,,,,Bacterial ,0.492420062,0.420800121,2.713978568,1.802279621,0.717239146,0.212420718,1.167489263,1.241228085,1.255085213,0.376363471,1.544653013,1.759202856,2.312310627,0.41319218,0.654166522,0.331851719,0.3669666,0.524228136,0.816118102,0.878005977
Control,CIII6,0.631096755,0.438835553,1.918575619,1.323118967,0.702913902,0.203980452,1.638403389,1.655200147,1.56158306,0.49123858,1.683428345,2.243214342,2.146930739,0.391088665,0.788462059,0.31577885,0.384104855,0.539930132,0.481599589,0.460515999,,Viral ,0.474954506,0.417325023,2.411405138,1.655370989,0.62817895,0.251354698,2.195682408,0.982545059,1.121203701,0.347985832,1.556132567,1.183243339,2.658474478,0.377741553,0.625405908,0.305690991,0.354346221,0.632704753,0.907957484,0.912296402,,,,,Viral ,0.474954506,0.417325023,2.411405138,1.655370989,0.62817895,0.251354698,2.195682408,0.982545059,1.121203701,0.347985832,1.556132567,1.183243339,2.658474478,0.377741553,0.625405908,0.305690991,0.354346221,0.632704753,0.907957484,0.912296402
Control,CIII7,0.349267457,0.356928397,2.16450727,1.470750327,0.652496212,0.238229033,1.626029131,1.651352108,1.426622064,0.385159218,1.764375567,2.14491303,2.297196205,0.490219225,0.73350223,0.435093667,0.319412328,0.552714886,0.458770399,0.482461247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,CIII8,0.460987171,0.422091174,2.611765975,1.449127863,0.57913098,0.134563554,1.27771651,1.344143963,1.468045234,0.338048053,1.748641385,2.811593283,2.114211754,0.57855641,0.555290142,0.310822739,0.38268476,0.417542031,0.391412462,0.603624557,,,,,,,,,,,,,,,,,,,,,,,,,,FC,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CIII9,0.371544494,0.305155906,2.380751173,1.473114341,0.557964479,0.302571938,1.471472593,2.176881572,1.13963014,0.322989499,1.77871006,2.409063214,2.371030789,0.505675652,0.570230855,0.322463507,0.390672753,0.301688297,0.431663865,0.416724874,,,,,,,,,,,,,,,,,,,,,,,,,,,Controls ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
