Name,ADAM8,ADAM12,ADAM28,F2,FAP,HAT,HGFAC,KLK6,KLK8,MMP1,MMP3,MMP7,MMP10,MMP12,MMP13,MMP17,PCSK1,PRSS1,PRSS2,PRSS3,TMPRSS11E,PLAU
S3,0.8428940109999999,0.990447662,0.9507747999999999,1.0607279859999998,0.981687735,4.284989287,0.8876407340000001,3.516477248,4.51131106,1.0025633840000001,1.010572815,0.985423458,0.979814298,0.991195569,0.958368991,0.988015949,1.154418443,1.487620895,1.568720205,3.2630514180000003,1.389716419,1.5163713380000001
S25,0.939751337,1.0193366590000001,0.99409905,1.022121947,0.98741726,1.547734269,0.95542719,1.055373992,1.545618128,1.024765903,1.01223254,1.040835252,1.023663533,1.569438106,1.798223857,1.007290372,1.023621696,2.259128793,2.056148103,1.973909132,1.091100528,1.011590982
S26,1.086662245,1.987210973,0.986100017,1.039742731,0.976067193,2.862083723,2.6847489139999996,1.517787177,3.005849655,1.011018189,0.99437858,0.993311264,0.982541782,0.9652660470000001,0.972074652,0.9317746109999999,3.8017456239999996,1.380217534,1.502773278,3.1437342110000004,1.187723186,1.063630858
S27,0.894151582,0.968103267,0.9524932979999999,1.259970286,1.046162161,3.6951724319999997,1.005216219,2.501132808,1.476316189,0.99016533,0.970273058,0.9926374109999999,0.999907441,0.965757358,0.98104067,0.947729743,1.1707656640000002,1.9111877780000002,1.662710642,3.400143569,1.095064153,1.005553115
S28,0.8673084740000001,0.997732015,0.97456359,1.032103389,1.009547165,1.973902911,1.148084006,1.332594428,1.057390719,1.0431931859999999,0.952586484,1.023283241,1.037095219,1.030033089,1.024935498,0.9580747190000001,1.0036761859999999,2.879408246,2.693064555,2.722852862,1.039492181,0.983324003
S29,0.898699625,0.99784178,1.035451978,1.011483575,0.9836637579999999,0.990729739,0.9954305390000001,0.96998846,1.011439735,1.1192605009999999,2.935870488,1.208953032,1.837292932,1.9358419359999999,5.345558776,1.25952783,1.0032706809999998,1.0588733479999999,1.007305768,1.011482541,0.987012263,0.982216603
S30,0.879183163,1.009827761,1.004237987,0.991040542,4.839538796,0.9978590390000001,0.982227837,0.922723512,1.024120415,1.159908935,2.723643392,1.010445493,3.763019668,3.4952011,4.61627968,0.977567249,0.991260253,1.044117129,1.038075114,1.027121633,0.9822474390000001,0.97954668
S31,1.172206336,1.025143932,0.975024432,1.021227701,1.7697338830000002,1.7120752240000001,3.5746904,2.7344724439999997,2.234994668,0.991892758,0.957936008,0.982158755,0.985524593,0.959514118,0.97944539,0.959930032,0.994906073,1.8384318919999998,1.894628035,3.408028103,1.0726817690000001,0.9932034129999999
S32,1.043266367,0.99096266,0.995145858,0.998863952,0.985686242,1.251784739,1.6331450719999998,1.144787698,1.756552121,0.999454198,0.957665051,0.981891596,0.98741007,0.960962566,0.9531223809999999,0.959589969,0.992635183,1.689920444,1.751349962,1.5925047380000001,1.017205028,0.997918475
S33,1.213284834,0.9928036640000001,0.995098354,1.017648479,1.006140368,2.198752045,3.80654576,1.258380034,1.7821230319999999,0.960972866,0.992099576,0.978866835,0.985385175,0.9858836559999999,0.994955347,0.948277928,1.0225135220000001,4.024147457,4.019447975,3.47089616,1.004413158,0.9764218590000001
