Name,ADAM12,ADAMTS1,CTSD,CTSK,CTSZ,FAP,FURIN,GZMA,GZMK,HTRA1,KLK11,MMP1,MMP12,MMP13,MMP14,MMP15,MMP19,MMP2,MMP7,MMP9,PCSK1,PCSK2,PLAT,PLAU,PRSS8,F2
S119,1.1953114759999999,0.8542637479999999,25.07561541,10.05655826,1.200493254,0.91743168,0.948495223,0.991228599,0.959304222,0.861226398,4.635496839,39.84881827,21.55247183,35.90507641,4.000179654,4.046669869,1.830357925,1.40149684,28.63380714,3.05314305,0.9689525809999999,0.937959258,0.8920706970000001,0.99102358,0.9279757909999999,0.681158956
S120,2.37904418,1.317935037,28.28272547,24.37837845,1.130417657,1.6216566909999999,0.955535822,1.1310090659999998,6.707643139,1.020264976,33.52128796,9.254999601,8.461707678,41.04462872,8.212811761000001,2.758973713,1.308120006,2.391146376,14.39272066,8.54083245,0.921416123,1.02096537,1.11347536,0.982891827,0.9810393559999999,0.811707999
S121,1.3562704319999999,0.9642379879999999,3.657973385,3.793313426,1.055046331,1.035830343,0.9833795320000001,1.331700106,1.021859943,1.020723977,16.84549992,1.3149875770000001,1.936874846,1.260604441,1.2781689859999998,1.092439298,1.463745141,0.962736886,1.238726297,1.153523516,1.184607219,1.255808223,1.548851147,9.765875331,1.00120997,0.85600655
S122,3.344248462,1.1684978540000002,37.88685015,16.33798696,1.426390045,1.689658301,0.954226033,1.047603396,1.146143144,0.991238168,18.50254595,64.41139582,40.19646661,95.91906753,17.70107882,19.97320294,4.252505201,3.564687502,51.39277358,26.38908165,0.9310961609999999,0.990634407,0.906070763,1.0244988320000001,0.997608638,0.9488375059999999
S24,9.464928536,1.8360948609999999,2.431903984,22.93953718,1.059611927,5.670462382999999,1.004324391,1.04222542,1.179622672,0.9972714490000001,21.80294159,7.071634044,43.23861614,236.0978551,7.465268385,2.821421623,1.789036135,6.750173984,1.6260564259999999,29.52398255,0.956129239,0.989767119,0.983183465,1.015688188,0.978523528,0.586230218
S123,1.473155191,0.915664202,1.144216803,1.520678674,1.0063613390000001,1.97623262,1.0785669820000001,1.140950185,1.070533153,1.127921142,11.42119224,4.371149591,8.560980007000001,23.28427408,1.670312473,1.272102709,2.19496551,1.276570849,2.8682505010000003,2.7020408860000003,1.04861041,1.145498411,0.991894145,1.18298436,1.082467308,1.202230938
S36,1.3486514490000001,0.8075014640000001,1.7226674240000002,1.84947513,1.3795596330000002,1.562464396,0.97995975,1.157917789,1.07972174,1.080450283,3.052942472,4.2159584919999995,10.19560002,28.75472768,5.204316262,1.553917639,1.137215096,1.944311092,1.051695459,6.541128079,1.093903267,1.146100902,0.977853691,0.9671847790000001,0.95412661,0.8684881320000001
S124,1.6968532769999998,1.1178246840000001,4.694451653,3.137425271,1.2159402240000001,1.2576924109999998,0.941161076,0.9623371390000001,0.980807323,0.9218254859999999,3.3515860589999997,1.500597515,4.494052005,2.188692209,1.434821559,1.2654076890000001,1.360748005,1.104932678,8.614413627000001,1.669855993,0.970278493,1.05497045,0.8701921979999999,0.940403579,0.9165222709999999,0.7188976029999999
S125,2.443970862,1.324495961,1.2431281,3.727730442,1.10845258,1.9504451880000002,0.949534049,0.982957753,1.046767417,0.9795039179999999,17.6451706,1.498835565,4.691329328999999,3.47845924,1.802993197,1.2687260759999999,1.052869242,1.292045573,13.60689939,2.238635695,0.9378796079999999,0.975397472,0.9332771940000001,0.970720798,0.9405445,0.7013560790000001
S126,2.205928825,1.041093034,22.41406949,26.12279137,1.250967045,1.810687638,0.98438497,29.239668800000004,2.164798057,1.0026752159999999,25.81463465,19.40738632,28.50714759,84.51965813,3.318439171,5.14540977,2.415389364,6.296833743,22.7509399,8.604587333,0.933816668,1.014981382,1.115056048,6.498641598,1.303512127,1.2999531290000002
